,city_ascii,lat,lng,admin_name,population
0,Tokyo,35.6897,139.6922,Tokyo,37732000.0
24,Osaka,34.6939,135.5022,Osaka,15126000.0
46,Nagoya,35.1833,136.9,Aichi,9197000.0
202,Yokohama,35.4442,139.6381,Kanagawa,3757630.0
366,Fukuoka,33.5833,130.4,Fukuoka,2286000.0
421,Sapporo,43.0667,141.35,Hokkaido,1961690.0
509,Kawasaki,35.5167,139.7,Kanagawa,1539522.0
514,Kobe,34.69,135.1956,Hyogo,1521707.0
538,Kyoto,35.0117,135.7683,Kyoto,1464890.0
578,Saitama,35.8614,139.6456,Saitama,1325843.0
641,Hiroshima,34.3914,132.4519,Hiroshima,1198021.0
721,Sendai,38.2682,140.8694,Miyagi,1061177.0
917,Chiba,35.6073,140.1064,Chiba,981738.0
938,Setagaya,35.6466,139.6532,Tokyo,940509.0
952,Kitakyushu,33.8833,130.8833,Fukuoka,935084.0
1046,Sakai,34.5733,135.4831,Osaka,824408.0
1079,Niigata,37.9161,139.0364,Niigata,790646.0
1082,Hamamatsu,34.7108,137.7275,Shizuoka,788211.0
1114,Nerima,35.7355,139.6517,Tokyo,742463.0
1127,Ota-ku,35.5613,139.716,Tokyo,737187.0
1134,Kumamoto,32.8031,130.7078,Kumamoto,738385.0
1157,Sagamihara,35.5667,139.3667,Kanagawa,722973.0
1161,Okayama,34.65,133.9167,Okayama,720043.0
1173,Edogawa,35.7066,139.8683,Chiba,697932.0
1201,Adachi,35.7749,139.8044,Tokyo,682326.0
1213,Shizuoka,34.9756,138.3828,Shizuoka,685589.0
1268,Honcho,35.6946,139.9826,Chiba,641499.0
1353,Kawaguchi,35.8077,139.7241,Saitama,593353.0
1354,Itabashi,35.7512,139.7093,Tokyo,581337.0
1355,Suginami-ku,35.6995,139.6364,Tokyo,583609.0
1363,Kagoshima,31.6,130.55,Kagoshima,593754.0
1395,Hachioji,35.6664,139.316,Tokyo,575721.0
1467,Koto-ku,35.6728,139.8173,Tokyo,523117.0
1484,Himeji,34.8167,134.6833,Hyogo,527596.0
1508,Utsunomiya,36.5551,139.8826,Tochigi,518197.0
1536,Matsuyama,33.8333,132.7667,Ehime,506743.0
1540,Matsudo,35.7876,139.9032,Chiba,497514.0
1542,Ichikawa,35.7219,139.9311,Chiba,496657.0
1562,Higashi-osaka,34.6794,135.6008,Osaka,490819.0
1589,Nishinomiya-hama,34.7376,135.3416,Hyogo,487010.0
1613,Oita,33.2333,131.6067,Oita,477186.0
1620,Kurashiki,34.5833,133.7667,Okayama,474862.0
1648,Katsushika-ku,35.7434,139.8472,Tokyo,453410.0
1656,Kanazawa,36.5611,136.6564,Ishikawa,462479.0
