,pref_id,Prefecture,Life_expectancy
0,23,Aichi,84.65
1,5,Akita,83.79
2,2,Aomori,82.8
3,12,Chiba,84.48
4,38,Ehime,84.24
5,18,Fukui,84.91
6,40,Fukuoka,84.54
7,7,Fukushima,83.71
8,21,Gifu,84.71
9,10,Gunma,84.16
10,34,Hiroshima,85.06
11,1,Hokkaido,84.0
12,28,Hyogo,84.81
13,8,Ibaraki,83.92
14,17,Ishikawa,85.06
15,3,Iwate,83.85
16,37,Kagawa,84.6
17,46,Kagoshima,84.24
18,14,Kanagawa,84.97
19,39,Kochi,84.32
20,43,Kumamoto,85.07
21,26,Kyoto,85.25
22,24,Mie,84.64
23,4,Miyagi,84.61
24,45,Miyazaki,84.38
25,20,Nagano,85.46
26,42,Nagasaki,84.21
27,29,Nara,85.18
28,15,Niigata,84.43
29,44,Oita,84.91
30,33,Okayama,85.1
31,47,Okinawa,84.31
32,27,Osaka,84.09
33,41,Saga,84.6
34,11,Saitama,84.38
35,25,Shiga,85.5
36,32,Shimane,84.92
37,22,Shizuoka,84.54
38,9,Tochigi,83.95
39,36,Tokushima,84.35
40,13,Tokyo,84.82
41,31,Tottori,84.63
42,16,Toyama,84.86
43,30,Wakayama,84.2
44,6,Yamagata,84.39
45,35,Yamaguchi,84.28
46,19,Yamanashi,84.83
