Station_Name,Shinkansen_Line,Prefecture
Tokyo,Tokaido_Shinkansen,Tokyo
Shinagawa,Tokaido_Shinkansen,Tokyo
Shin-Yokohama,Tokaido_Shinkansen,Kanagawa
Odawara,Tokaido_Shinkansen,Kanagawa
Atami,Tokaido_Shinkansen,Shizuoka
Mishima,Tokaido_Shinkansen,Shizuoka
Shin-Fuji,Tokaido_Shinkansen,Shizuoka
Shizuoka,Tokaido_Shinkansen,Shizuoka
Kakegawa,Tokaido_Shinkansen,Shizuoka
Hamamatsu,Tokaido_Shinkansen,Shizuoka
Toyohashi,Tokaido_Shinkansen,Aichi
Mikawa-Anjo,Tokaido_Shinkansen,Aichi
Nagoya,Tokaido_Shinkansen,Aichi
Gifu-Hashima,Tokaido_Shinkansen,Gifu
Maibara,Tokaido_Shinkansen,Shiga
Kyoto,Tokaido_Shinkansen,Kyoto
Shin-Osaka,"Tokaido_Shinkansen,Sanyo_Shinkansen",Osaka
Shin-Kobe,Sanyo_Shinkansen,Hyogo
Nishi-Akashi,Sanyo_Shinkansen,Hyogo
Himeji,Sanyo_Shinkansen,Hyogo
Aioi,Sanyo_Shinkansen,Hyogo
Okayama,Sanyo_Shinkansen,Okayama
Shin-Kurashiki,Sanyo_Shinkansen,Okayama
Fukuyama,Sanyo_Shinkansen,Hiroshima
Shin-Onomichi,Sanyo_Shinkansen,Hiroshima
Mihara,Sanyo_Shinkansen,Hiroshima
Higashi-Hiroshima,Sanyo_Shinkansen,Hiroshima
Hiroshima,Sanyo_Shinkansen,Hiroshima
Shin-Iwakuni,Sanyo_Shinkansen,Yamaguchi
Tokuyama,Sanyo_Shinkansen,Yamaguchi
Shin-Yamaguchi,Sanyo_Shinkansen,Yamaguchi
Asa,Sanyo_Shinkansen,Yamaguchi
Shin-Shimonoseki,Sanyo_Shinkansen,Yamaguchi
Kokura,Sanyo_Shinkansen,Fukuoka
Hakata,"Sanyo_Shinkansen,Kyushu-Shinknsen",Fukuoka
Tokyo,Tohoku_Shinkansen,Tokyo
Ueno,Tohoku_Shinkansen,Tokyo
Omiya,"Tohoku_Shinkansen,Joetsu_Shinkansen",Saitama
Oyama,Tohoku_Shinkansen,Tochigi
Utsunomiya,Tohoku_Shinkansen,Tochigi
Nasushiobara,Tohoku_Shinkansen,Tochigi
Shin-Shirakawa,Tohoku_Shinkansen,Fukushima
Koriyama,Tohoku_Shinkansen,Fukushima
Fukushima,"Tohoku_Shinkansen,Yamagata_Shinkansen",Fukushima
Shiroishi-Zao,Tohoku_Shinkansen,Miyagi
Sendai,Tohoku_Shinkansen,Miyagi
Furukawa,Tohoku_Shinkansen,Miyagi
Kurikoma-Kogen,Tohoku_Shinkansen,Miyagi
Ichinoseki,Tohoku_Shinkansen,Iwate
Mizusawa-Esashi,Tohoku_Shinkansen,Iwate
Kitakami,Tohoku_Shinkansen,Iwate
Shin-Hanamaki,Tohoku_Shinkansen,Iwate
Morioka,"Tohoku_Shinkansen,Akita_Shinkansen",Iwate
iwate-Numakunai,Tohoku_Shinkansen,Iwate
Ninohe,Tohoku_Shinkansen,Iwate
Hachinohe,Tohoku_Shinkansen,Aomori
Shichinohe-Towada,Tohoku_Shinkansen,Aomori
Shin-Aomori,"Tohoku_Shinkansen,Hokkaido_Shinkansen",Aomori
Kumagaya,Joetsu_Shinkansen,Saitama
Honjo-Waseda,Joetsu_Shinkansen,Saitama
Takasaki,"Joetsu_Shinkansen,Hokuriku_Shinkansen",Gunma
Jomo-Kogen,Joetsu_Shinkansen,Gunma
Echigo-Yuzawa,Joetsu_Shinkansen,Niigata
Urasa,Joetsu_Shinkansen,Niigata
Nagaoka,Joetsu_Shinkansen,Niigata
Tsubame-Sanjo,Joetsu_Shinkansen,Niigata
Niigata,Joetsu_Shinkansen,Niigata
Yonezawa,Yamagata_Shinkansen,Yamagata
Takahata,Yamagata_Shinkansen,Yamagata
Akayu,Yamagata_Shinkansen,Yamagata
Kaminoyama-Onsen,Yamagata_Shinkansen,Yamagata
Yamagata,Yamagata_Shinkansen,Yamagata
Tendo,Yamagata_Shinkansen,Yamagata
Sakuranbo-Higashine,Yamagata_Shinkansen,Yamagata
Murayama,Yamagata_Shinkansen,Yamagata
Oishida,Yamagata_Shinkansen,Yamagata
Shinjo,Yamagata_Shinkansen,Yamagata
Shizukuishi,Akita_Shinkansen,Iwate
Tazawako,Akita_Shinkansen,Akita
Kakunodate,Akita_Shinkansen,Akita
Omagari,Akita_Shinkansen,Akita
Akita,Akita_Shinkansen,Akita
Annaka-Haruna,Hokuriku_Shinkansen,Gunma
Karuizawa,Hokuriku_Shinkansen,Nagano
Sakudaira,Hokuriku_Shinkansen,Nagano
Ueda,Hokuriku_Shinkansen,Nagano
Nagano,Hokuriku_Shinkansen,Nagano
Iyama,Hokuriku_Shinkansen,Nagano
Joetsu-Myoko,Hokuriku_Shinkansen,Niigata
Itoigawa,Hokuriku_Shinkansen,Niigata
Kurobe-Unazukionsen,Hokuriku_Shinkansen,Toyama
Toyama,Hokuriku_Shinkansen,Toyama
Shin-Takaoka,Hokuriku_Shinkansen,Toyama
Kanazawa,Hokuriku_Shinkansen,Ishikawa
Shin-Tosu,Kyushu_Shinkansen,Saga
Kurume,Kyushu_Shinkansen,Fukuoka
Chikugo-Funagoya,Kyushu_Shinkansen,Fukuoka
Shin-Omuta,Kyushu_Shinkansen,Fukuoka
Shin-Tamana,Kyushu_Shinkansen,Kumamoto
Kumamoto,Kyushu_Shinkansen,Kumamoto
Shin-Yatsushiro,Kyushu_Shinkansen,Kumamoto
Shin-Minamata,Kyushu_Shinkansen,Kumamoto
Izumi,Kyushu_Shinkansen,Kagoshima
Sendai,Kyushu_Shinkansen,Kagoshima
Kagoshima-Chuo,Kyushu_Shinkansen,Kagoshima
Okutsugaru-Imabetsu,Hokkaido_Shinkansen,Aomori
Kikonai,Hokkaido_Shinkansen,Hokkaido
Shin-Hakodate-Hokuto,Hokkaido_Shinkansen,Hokkaido
Takeo-Onsen,Nishi_Kyushu_Shinkansen,Saga
Ureshino-Onsen,Nishi_Kyushu_Shinkansen,Saga
Shin-Omura,Nishi_Kyushu_Shinkansen,Nagasaki
Isahaya,Nishi_Kyushu_Shinkansen,Nagasaki
Nagasaki,Nishi_Kyushu_Shinkansen,Nagasaki
