,name,state,latitude,longitude,review_rating,difficulty_rank
0,Hokkaido University,Hokaido,43.070446,141.347153,4.16,A
1,Hokkaido University of Education,Hokaido,43.170498,141.393753,3.79,D
2,Muroran Institute of Technology,Hokaido,42.378716,141.034042,3.66,F
3,Otaru University of Commerce,Hokaido,43.190952,140.97937,3.8,C
4,Obihiro University of Agriculture And Veterinary Medicine,Hokaido,42.872356,143.177979,4.2,B
5,Asahikawa Medical University,Hokaido,43.730633,142.381897,3.93,B
6,Kitami Institute of Technology,Hokaido,43.822479,143.905716,3.66,E
7,Hirosaki University,Aomori,40.587959,140.472061,3.84,D
8,Iwate University,Iwate,39.712715,141.137711,3.89,D
9,Tohoku University,Miyagi,38.252632,140.873932,4.18,A
10,Miyagi University of Education,Miyagi,38.258968,140.830948,3.95,D
11,Akita University,Akita,39.726997,140.134094,3.8,D
12,Yamagata University,Yamagata,38.246128,140.349655,3.76,D
13,Fukushima University,Fukushima,37.682877,140.454041,3.72,E
14,Ibaraki University,Ibaraki,36.401237,140.442764,3.81,D
15,University of Tsukuba,Ibaraki,36.108723,140.100632,4.17,A
16,Tsukuba University of Technology,Ibaraki,36.10537,140.110474,4.12,F
17,Utsunomiya University,Tochigi,36.550312,139.914886,3.95,C
18,Gunma University,Gunma,36.430313,139.045197,3.88,C
19,Saitama University,Saitama,35.862579,139.608246,3.88,C
20,Chiba University,Chiba,35.625977,140.103653,4.07,B
21,The University of Tokyo,Tokyo,35.714146,139.763214,4.34,S
22,Tokyo Medical And Dental University,Tokyo,35.701828,139.765274,4.23,A
23,Tokyo University of Foreign Studies,Tokyo,35.672707,139.521042,4.19,A
24,Tokyo Gakugei University,Tokyo,35.706203,139.49176,4.08,B
25,Tokyo University of Agriculture And Technology,Tokyo,35.683945,139.478668,4.0,B
26,Tokyo University of The Arts,Tokyo,35.719269,139.772217,4.25,B
27,Tokyo Institute of Technology,Tokyo,35.606895,139.684875,4.25,S
28,Tokyo University of Marine Science And Technology,Tokyo,35.626247,139.746521,4.16,C
29,Ochanomizu University,Tokyo,35.71973,139.733475,4.3,A
30,The University of Electro - Communications,Tokyo,35.657433,139.544327,3.92,B
31,Hitotsubashi University,Tokyo,35.694389,139.443649,4.26,S
32,Yokohama National University,Kanagawa,35.476898,139.591476,3.9,A
33,Niigata University,Niigata,37.867237,138.943573,3.86,C
34,Nagaoka University of Technology,Niigata,37.424774,138.778793,3.95,E
35,Joetsu University of Education,Niigata,37.134945,138.22644,4.09,C
36,University of Toyama,Toyama,36.699642,137.187057,3.81,C
37,Kanazawa University,Ishikawa,36.545948,136.709442,3.76,C
38,University of Fukui,Fukui,36.074238,136.212402,3.83,C
39,University of Yamanashi,Yamanashi,35.678509,138.57341,3.82,D
40,Shinshu University,Nagano,36.249428,137.978943,3.93,C
41,Gifu University,Gifu,35.46553,136.737625,3.93,C
42,National University Corporation Shizuoka University,Shizuoka,34.966625,138.431412,3.94,C
43,Hamamatsu University School of Medicine,Shizuoka,34.76965,137.74408,3.89,S
44,Nagoya University,Aichi,35.155655,136.964676,4.22,A
45,Aichi University of Education,Aichi,35.051189,137.049667,3.87,C
46,Nagoya Institute of Technology,Aichi,35.156868,136.925232,4.01,B
47,Toyohashi University of Technology,Aichi,34.70142,137.408173,3.87,C
48,Mie University,Mie,34.745785,136.523224,3.94,C
49,Shiga University,Shiga,35.278313,136.247208,3.83,C
50,Shiga University of Medical Science,Shiga,34.974438,135.946915,3.88,A
51,Kyoto University,Kyoto,35.026962,135.781967,4.2,S
52,Kyoto University of Education,Kyoto,34.951603,135.773636,3.99,C
53,Kyoto Institute of Technology,Kyoto,35.049767,135.78334,4.04,B
54,Osaka University,Osaka,34.819496,135.521164,4.12,A
55,Osaka Kyoiku University,Osaka,34.552101,135.64679,3.99,C
